city,illiterates,no_diploma,primary,low_secondary,high_school,uni_bachelor,uni_phd
BERAT,2652,906,11663,28203,14749,3988,17
DIBER,2495,1035,11924,29395,10335,2525,11
DURRES,3709,1180,18345,51451,28763,9832,74
ELBASAN,6065,1653,23022,60292,26477,10262,79
FIER,5613,1692,23390,63158,31738,9280,54
GJIROKASTER,1117,445,6077,12175,8253,3782,29
KORCE,3152,1240,18477,41948,22857,8650,63
KUKES,1114,615,7003,17329,7208,2174,6
LEZHE,2894,703,10945,26565,13930,3498,22
SHKODER,3552,1389,17127,42957,21526,8053,108
TIRANE,8030,3371,44465,107046,102993,61705,918
VLORE,3033,1237,12678,29573,21531,8686,102
