ages,primary,lower_secondary,high_school,uni_bachelor,uni_master
0-14,187717,25848, ,,
15-19,12923,171056,77167,174,
20-24,4602,84501,91564,52097,
25-29,4760,86355,49155,44705,396
30-34,3827,85118,43585,26097,511
35-39,2625,75006,63052,22241,562
40-44,3050,84382,72050,22675,589
45-49,3915,88774,78079,18236,426
50-54,6625,86809,79780,18327,382
55-59,12785,65898,61922,18524,317
60-64,23443,51958,35373,15488,220
65-69,34245,35490,19290,8781,130
70-74,38792,25670,13612,5751,80
75-79,26374,12373,7717,3475,44
80-84,13007,4675,3153,1581,31
85+,6774,2268,1519,786,13
