city,illiterates,no_diploma,primary,low_secondary,high_school,uni_bachelor,uni_phd
BERAT,1206,823,10336,27237,19344,3693,41
DIBER,1072,1100,10662,28414,14615,2767,23
DURRES,1627,1131,16129,47513,36114,9944,100
ELBASAN,2888,1665,20809,58729,35672,8207,119
FIER,2604,1616,20693,59754,42917,8846,97
GJIROKASTER,508,402,4850,11486,11138,4154,48
KORCE,1640,1157,15944,40500,30049,8221,97
KUKES,479,634,6598,14623,10705,2373,18
LEZHE,1256,756,9579,24998,17062,3292,44
SHKODER,1732,1402,15400,39089,27357,7009,98
TIRANE,3828,3122,38903,94189,115698,59386,1428
VLORE,1209,1142,10445,29557,25987,8611,105
